127.0.0.1 - - [11/Jun/2025:13:29:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:19 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:19 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:24 +0530] "GET /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:24 +0530] "GET /Student_management_systems/AdminLogin.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:29 +0530] "POST /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:29 +0530] "GET /Student_management_systems/AdminDashboard.jsp HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:32 +0530] "GET /Student_management_systems/ViewStudentsServlet HTTP/1.1" 200 15757
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:36 +0530] "GET /Student_management_systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:39 +0530] "GET /Student_management_systems/ViewStudentsServlet HTTP/1.1" 200 15757
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:42 +0530] "GET /Student_management_systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:44 +0530] "GET /Student_management_systems/StudentLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:44 +0530] "GET /Student_management_systems/StudentLogin.jsp HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [11/Jun/2025:13:29:48 +0530] "POST /Student_management_systems/StudentLogin HTTP/1.1" 302 -
